DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,CargoType,AirCargoTons,Year,Month,CargoTons_K
2014-05-01T00:00:00.000,2007-04-01,Departure,International,Mail,1106,2007,4,1.106
2014-05-01T00:00:00.000,2007-05-01,Arrival,Domestic,Freight,36143,2007,5,36.143
2014-05-01T00:00:00.000,2007-05-01,Arrival,Domestic,Mail,1255,2007,5,1.255
2014-05-01T00:00:00.000,2007-05-01,Arrival,International,Freight,50632,2007,5,50.632
2014-05-01T00:00:00.000,2007-05-01,Arrival,International,Mail,736,2007,5,0.736
2014-05-01T00:00:00.000,2007-05-01,Departure,Domestic,Freight,40136,2007,5,40.136
2014-05-01T00:00:00.000,2007-05-01,Departure,Domestic,Mail,1649,2007,5,1.649
2014-05-01T00:00:00.000,2007-05-01,Departure,International,Freight,34863,2007,5,34.863
2014-05-01T00:00:00.000,2007-05-01,Departure,International,Mail,1118,2007,5,1.118
2014-05-01T00:00:00.000,2007-06-01,Arrival,Domestic,Freight,36339,2007,6,36.339
2014-05-01T00:00:00.000,2007-06-01,Arrival,Domestic,Mail,1230,2007,6,1.23
2014-05-01T00:00:00.000,2007-06-01,Arrival,International,Freight,52102,2007,6,52.102
2014-05-01T00:00:00.000,2007-06-01,Arrival,International,Mail,680,2007,6,0.68
2014-05-01T00:00:00.000,2007-06-01,Departure,Domestic,Freight,39552,2007,6,39.552
2014-05-01T00:00:00.000,2007-06-01,Departure,Domestic,Mail,1977,2007,6,1.977
2014-05-01T00:00:00.000,2007-06-01,Departure,International,Freight,37197,2007,6,37.197
2014-05-01T00:00:00.000,2007-06-01,Departure,International,Mail,1082,2007,6,1.082
2014-05-01T00:00:00.000,2007-07-01,Arrival,Domestic,Freight,33369,2007,7,33.369
2014-05-01T00:00:00.000,2007-07-01,Arrival,Domestic,Mail,913,2007,7,0.913
2014-05-01T00:00:00.000,2007-07-01,Arrival,International,Freight,52023,2007,7,52.023
2014-05-01T00:00:00.000,2007-07-01,Arrival,International,Mail,706,2007,7,0.706
2014-05-01T00:00:00.000,2007-07-01,Departure,Domestic,Freight,36538,2007,7,36.538
2014-05-01T00:00:00.000,2007-07-01,Departure,Domestic,Mail,1425,2007,7,1.425
2014-05-01T00:00:00.000,2007-07-01,Departure,International,Freight,38888,2007,7,38.888
2014-05-01T00:00:00.000,2007-07-01,Departure,International,Mail,1075,2007,7,1.075
2014-05-01T00:00:00.000,2007-08-01,Arrival,Domestic,Freight,36383,2007,8,36.383
2014-05-01T00:00:00.000,2007-08-01,Arrival,Domestic,Mail,912,2007,8,0.912
2014-05-01T00:00:00.000,2007-08-01,Arrival,International,Freight,56310,2007,8,56.31
2014-05-01T00:00:00.000,2007-08-01,Arrival,International,Mail,743,2007,8,0.743
2014-05-01T00:00:00.000,2007-08-01,Departure,Domestic,Freight,38348,2007,8,38.348
2014-05-01T00:00:00.000,2007-08-01,Departure,Domestic,Mail,1389,2007,8,1.389
2014-05-01T00:00:00.000,2007-08-01,Departure,International,Freight,39543,2007,8,39.543
2014-05-01T00:00:00.000,2007-08-01,Departure,International,Mail,1115,2007,8,1.115
2014-05-01T00:00:00.000,2007-09-01,Arrival,Domestic,Freight,35384,2007,9,35.384
2014-05-01T00:00:00.000,2007-09-01,Arrival,Domestic,Mail,1647,2007,9,1.647
2014-05-01T00:00:00.000,2007-09-01,Arrival,International,Freight,60147,2007,9,60.147
2014-05-01T00:00:00.000,2007-09-01,Arrival,International,Mail,742,2007,9,0.742
2014-05-01T00:00:00.000,2007-09-01,Departure,Domestic,Freight,35253,2007,9,35.253
2014-05-01T00:00:00.000,2007-09-01,Departure,Domestic,Mail,1838,2007,9,1.838
2014-05-01T00:00:00.000,2007-09-01,Departure,International,Freight,36072,2007,9,36.072
2014-05-01T00:00:00.000,2007-09-01,Departure,International,Mail,1149,2007,9,1.149
2014-05-01T00:00:00.000,2007-10-01,Arrival,Domestic,Freight,37468,2007,10,37.468
2014-05-01T00:00:00.000,2007-10-01,Arrival,Domestic,Mail,1676,2007,10,1.676
2014-05-01T00:00:00.000,2007-10-01,Arrival,International,Freight,62388,2007,10,62.388
2014-05-01T00:00:00.000,2007-10-01,Arrival,International,Mail,738,2007,10,0.738
2014-05-01T00:00:00.000,2007-10-01,Departure,Domestic,Freight,37887,2007,10,37.887
2014-05-01T00:00:00.000,2007-10-01,Departure,Domestic,Mail,1992,2007,10,1.992
2014-05-01T00:00:00.000,2007-10-01,Departure,International,Freight,34611,2007,10,34.611
2014-05-01T00:00:00.000,2007-10-01,Departure,International,Mail,1159,2007,10,1.159
2014-05-01T00:00:00.000,2007-11-01,Arrival,Domestic,Freight,36853,2007,11,36.853
2014-05-01T00:00:00.000,2007-11-01,Arrival,Domestic,Mail,1689,2007,11,1.689
2014-05-01T00:00:00.000,2007-11-01,Arrival,International,Freight,62776,2007,11,62.776
2014-05-01T00:00:00.000,2007-11-01,Arrival,International,Mail,934,2007,11,0.934
2014-05-01T00:00:00.000,2007-11-01,Departure,Domestic,Freight,38555,2007,11,38.555
2014-05-01T00:00:00.000,2007-11-01,Departure,Domestic,Mail,2571,2007,11,2.571
2014-05-01T00:00:00.000,2007-11-01,Departure,International,Freight,35103,2007,11,35.103
2014-05-01T00:00:00.000,2007-11-01,Departure,International,Mail,1186,2007,11,1.186
2014-05-01T00:00:00.000,2007-12-01,Arrival,Domestic,Freight,35393,2007,12,35.393
2014-05-01T00:00:00.000,2007-12-01,Arrival,Domestic,Mail,1899,2007,12,1.899
2014-05-01T00:00:00.000,2007-12-01,Arrival,International,Freight,52981,2007,12,52.981
2014-05-01T00:00:00.000,2007-12-01,Arrival,International,Mail,1060,2007,12,1.06
2014-05-01T00:00:00.000,2007-12-01,Departure,Domestic,Freight,37963,2007,12,37.963
2014-05-01T00:00:00.000,2007-12-01,Departure,Domestic,Mail,2801,2007,12,2.801
2014-05-01T00:00:00.000,2007-12-01,Departure,International,Freight,34488,2007,12,34.488
2014-05-01T00:00:00.000,2007-12-01,Departure,International,Mail,1419,2007,12,1.419
2014-05-01T00:00:00.000,2008-01-01,Arrival,Domestic,Freight,31711,2008,1,31.711
2014-05-01T00:00:00.000,2008-01-01,Arrival,Domestic,Mail,1761,2008,1,1.761
2014-05-01T00:00:00.000,2008-01-01,Arrival,International,Freight,46107,2008,1,46.107
2014-05-01T00:00:00.000,2008-01-01,Arrival,International,Mail,1462,2008,1,1.462
2014-05-01T00:00:00.000,2008-01-01,Departure,Domestic,Freight,34816,2008,1,34.816
2014-05-01T00:00:00.000,2008-01-01,Departure,Domestic,Mail,2537,2008,1,2.537
2014-05-01T00:00:00.000,2008-01-01,Departure,International,Freight,30072,2008,1,30.072
2014-05-01T00:00:00.000,2008-01-01,Departure,International,Mail,1122,2008,1,1.122
2014-05-01T00:00:00.000,2008-02-01,Arrival,Domestic,Freight,30279,2008,2,30.279
2014-05-01T00:00:00.000,2008-02-01,Arrival,Domestic,Mail,1516,2008,2,1.516
2014-05-01T00:00:00.000,2008-02-01,Arrival,International,Freight,41545,2008,2,41.545
2014-05-01T00:00:00.000,2008-02-01,Arrival,International,Mail,3449,2008,2,3.449
2014-05-01T00:00:00.000,2008-02-01,Departure,Domestic,Freight,33847,2008,2,33.847
